model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6618,0.3969,0.76,0.5214,0.7335,0.451,0.4,383,152,231,48
lightgbm,base,0.7648,0.5104,0.735,0.6025,0.8036,0.5427,0.41,288,147,141,53
catboost,base,0.8097,0.587,0.725,0.6488,0.8526,0.6008,0.43,247,145,102,55
random_forest,base,0.7527,0.4929,0.695,0.5768,0.795,0.5309,0.47,282,139,143,61
lightgbm_regressor,base,0.84,0.6574,0.71,0.6827,0.8676,0.6713,0.49,216,142,74,58
xgboost_regressor,base,0.7406,0.4759,0.69,0.5633,0.7713,0.5582,0.5,290,138,152,62
random_forest_regressor,base,0.8242,0.6,0.825,0.6947,0.8797,0.6491,0.44,275,165,110,35
svm_regressor,base,0.5673,0.3305,0.765,0.4615,0.6597,0.3639,0.28,463,153,310,47
meta_model,ensemble,0.8,0.5585,0.835,0.6693,0.8705,0.6399,0.37,299,167,132,33
simple_ensemble,ensemble,0.8303,0.6282,0.735,0.6774,0.8791,0.6585,0.48,234,147,87,53
