model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6618,0.3596,0.6473,0.4623,0.7089,0.3887,0.45,495,178,317,97
lightgbm,base,0.6806,0.3889,0.7382,0.5094,0.7572,0.454,0.39,522,203,319,72
catboost,base,0.7941,0.5345,0.6473,0.5855,0.8246,0.5769,0.47,333,178,155,97
random_forest,base,0.7206,0.4237,0.6764,0.521,0.7738,0.5012,0.46,439,186,253,89
lightgbm_regressor,base,0.7917,0.525,0.7636,0.6222,0.8424,0.6077,0.46,400,210,190,65
xgboost_regressor,base,0.7108,0.4172,0.7236,0.5293,0.7649,0.5144,0.52,477,199,278,76
random_forest_regressor,base,0.8088,0.5568,0.7309,0.6321,0.8599,0.6268,0.47,361,201,160,74
svm_regressor,base,0.6381,0.3197,0.5418,0.4022,0.6359,0.3634,0.47,466,149,317,126
meta_model,ensemble,0.8178,0.5722,0.7491,0.6488,0.8573,0.6461,0.5,360,206,154,69
simple_ensemble,ensemble,0.8325,0.6101,0.7055,0.6543,0.8611,0.6306,0.51,318,194,124,81
