model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.6967,0.3844,0.5708,0.4594,0.6914,0.3978,0.47,346,133,213,100
lightgbm,base,0.7316,0.4405,0.6996,0.5406,0.7657,0.4855,0.41,370,163,207,70
catboost,base,0.7936,0.5333,0.6867,0.6004,0.8063,0.5623,0.43,300,160,140,73
random_forest,base,0.6938,0.405,0.7597,0.5284,0.7651,0.4802,0.43,437,177,260,56
lightgbm_regressor,base,0.813,0.5694,0.7039,0.6296,0.8258,0.6068,0.48,288,164,124,69
xgboost_regressor,base,0.7316,0.4357,0.6395,0.5183,0.751,0.4994,0.54,342,149,193,84
random_forest_regressor,base,0.8295,0.6052,0.7039,0.6508,0.844,0.6049,0.49,271,164,107,69
svm_regressor,base,0.3159,0.2421,0.9528,0.3861,0.5968,0.3082,0.12,917,222,695,11
meta_model,ensemble,0.813,0.5781,0.6352,0.6053,0.8279,0.5847,0.55,256,148,108,85
simple_ensemble,ensemble,0.8101,0.5584,0.7597,0.6436,0.8351,0.6053,0.45,317,177,140,56
